id,track_name,album_name,release_date,artist,genre,explicit,score,airplay_streams,amazon_playlist_count,deezer_playlist_count,itunes_playlist_count,shazam_count,siriusxm_streams,soundcloud_plays,spotify_playlist_count,spotify_playlist_total_reach,spotify_plays,spotify_popularity,spotify_ed_playlist_count,spotify_ed_playlist_total_reach,tidal_popularity,tiktok_posts,tiktok_top_videos_likes,tiktok_top_videos_views,youtube_likes,youtube_playlist_count,youtube_views
138071658,APT.,APT.,2024-10-18,"['ROSÉ', 'Bruno Mars']","['Pop', 'K-Pop', 'Dance']",False,0.966846257364,336709.0,,179.0,9.0,,459.0,2050566.0,90419.0,274203572.0,1222630989.0,92.0,164.0,109435710.0,,9058000.0,938397392.0,12562942564.0,14266985.0,373.0,1180584071.0
134780977,Die With A Smile,Die With A Smile,2024-08-16,"['Lady Gaga', 'Bruno Mars']",['Pop'],False,0.588068586773,466036.0,145.0,176.0,348.0,10242973.0,12.0,,180800.0,278012420.0,1938870521.0,97.0,187.0,105551916.0,,2600000.0,595192902.0,4572195680.0,843476.0,2.0,41261078.0
120611262,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,2024-05-17,['Billie Eilish'],"['Pop', 'Alternative', 'Alternative Rock']",True,0.499969770159,670692.0,142.0,166.0,404.0,7881055.0,102.0,,195827.0,298624666.0,2126764510.0,95.0,208.0,112169955.0,,1500000.0,522050067.0,4114506557.0,6220211.0,262.0,542609125.0
118981138,Espresso,Espresso,2024-04-12,['Sabrina Carpenter'],['Pop'],True,0.455366759299,938885.0,186.0,192.0,314.0,5698679.0,710.0,,188214.0,215527109.0,1977140175.0,85.0,188.0,42425762.0,,928200.0,312540065.0,2890146712.0,5964770.0,243.0,668262835.0
120189440,Not Like Us,Not Like Us,2024-05-04,['Kendrick Lamar'],['Hip-Hop/Rap'],True,0.44859946866,416457.0,171.0,113.0,336.0,6001425.0,133.0,,236267.0,202931595.0,1201295523.0,93.0,150.0,68921402.0,,2900000.0,420232035.0,3423081806.0,12687671.0,278.0,677359643.0
119723065,MILLION DOLLAR BABY,Million Dollar Baby - Single,2024-04-26,['Tommy Richman'],['Hip-Hop/Rap'],False,0.437957160212,508305.0,72.0,47.0,139.0,,2329.0,,203621.0,93808414.0,1106893581.0,84.0,70.0,51574147.0,,10913200.0,796396312.0,8107044110.0,4040009.0,88.0,329305237.0
141777092,DtMF,DeBÍ TiRAR MáS FOToS,2025-01-05,['Bad Bunny'],['Latin'],True,0.434174637008,22553.0,126.0,119.0,177.0,1642234.0,7.0,2122890.0,36006.0,224840049.0,432083223.0,95.0,87.0,119454915.0,,168600.0,27064488.0,229315729.0,621704.0,96.0,68910541.0
139790734,luther (with sza),GNX,2024-11-21,"['Kendrick Lamar', 'SZA']",['Hip-Hop/Rap'],False,0.398320952999,114542.0,118.0,96.0,283.0,2544587.0,20.0,5162145.0,59908.0,185898534.0,529284835.0,90.0,79.0,95590609.0,,906100.0,85966790.0,782138543.0,685910.0,7.0,50708961.0
98723426,Flowers,Flowers - Single,2023-01-12,['Miley Cyrus'],['Pop'],False,0.386266362009,1755543.0,165.0,222.0,405.0,13134318.0,2299.0,,324714.0,118810282.0,2441190194.0,84.0,97.0,18801738.0,,12992392.0,1201412648.0,16439004263.0,10991496.0,256.0,1307055588.0
118979853,In the End,Papercuts,2024-04-12,['Linkin Park'],"['Alternative', 'Alternative Rock']",False,0.366726899192,,1.0,,,,,,620.0,507266.0,2453486917.0,43.0,0.0,0.0,,,,,12555269.0,75.0,1962978921.0
143004680,Abracadabra,Abracadabra,2025-02-03,['Lady Gaga'],['Pop'],False,0.359124056071,24427.0,136.0,120.0,231.0,481558.0,1.0,98426.0,7475.0,224157106.0,119455947.0,90.0,97.0,96909220.0,,243900.0,381.0,332770.0,2393043.0,146.0,65270361.0
137602474,You're Beautiful (2024 Remaster),Back To Bedlam (20th Anniversary Edition),2024-10-11,['James Blunt'],['Pop'],True,0.352216784999,,,,8.0,,,,45.0,133397.0,979300910.0,37.0,0.0,0.0,,11.0,,,5146883.0,49.0,848883817.0
117566509,i like the way you kiss me,I like the way you kiss me,2024-03-19,['Artemas'],"['Pop', 'Alternative']",False,0.35097295267,291198.0,118.0,99.0,161.0,8500567.0,1051.0,,232483.0,107610460.0,1202755744.0,80.0,113.0,17524449.0,,6996377.0,536685635.0,7629113680.0,4279893.0,179.0,385388146.0
139789009,tv off (feat. lefty gunplay),GNX,2024-11-22,"['Kendrick Lamar', 'Lefty Gunplay']",['Hip-Hop/Rap'],True,0.338738103327,76961.0,86.0,44.0,208.0,1519426.0,12.0,7780109.0,52352.0,155697757.0,345817830.0,91.0,31.0,66367587.0,,316892.0,64210104.0,539093881.0,1700924.0,48.0,113293070.0
139283300,blinding lights,Fire,2024-11-06,['FireVRMusic'],['Others'],True,0.338071652684,,,,,,,,1.0,1.0,4722039296.0,11.0,0.0,0.0,,,,,,,
143983923,Trátame Suavemente,ROCK 80s Y 90s EN ESPAÑOL,2025-02-03,['Soda Stereo'],['Others'],False,0.332927705259,184.0,,,,,,,1.0,1.0,405687736.0,7.0,0.0,0.0,,,,,226500.0,,36012835.0
