,track_name,album_name,release_date,artist,genre,explicit,score,airplay_streams,itunes_playlist_count,shazam_count,spotify_playlist_count,spotify_playlist_total_reach,spotify_plays,spotify_popularity,spotify_ed_playlist_count,spotify_ed_playlist_total_reach,youtube_likes,youtube_views
0,APT.,APT.,2024-10-18,"['ROSÉ', 'Bruno Mars']","['Pop', 'K-Pop', 'Dance']",False,0.966846257364,336709,9,574324,90419,274203572,1222630989,92,164,109435710,14266985,1180584071
1,Die With A Smile,Die With A Smile,2024-08-16,"['Lady Gaga', 'Bruno Mars']",['Pop'],False,0.588068586773,466036,348,10242973,180800,278012420,1938870521,97,187,105551916,843476,41261078
2,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,2024-05-17,['Billie Eilish'],"['Pop', 'Alternative', 'Alternative Rock']",True,0.499969770159,670692,404,7881055,195827,298624666,2126764510,95,208,112169955,6220211,542609125
3,Espresso,Espresso,2024-04-12,['Sabrina Carpenter'],['Pop'],True,0.455366759299,938885,314,5698679,188214,215527109,1977140175,85,188,42425762,5964770,668262835
4,Not Like Us,Not Like Us,2024-05-04,['Kendrick Lamar'],['Hip-Hop/Rap'],True,0.44859946866,416457,336,6001425,236267,202931595,1201295523,93,150,68921402,12687671,677359643
5,MILLION DOLLAR BABY,Million Dollar Baby - Single,2024-04-26,['Tommy Richman'],['Hip-Hop/Rap'],False,0.437957160212,508305,139,574324,203621,93808414,1106893581,84,70,51574147,4040009,329305237
6,DtMF,DeBÍ TiRAR MáS FOToS,2025-01-05,['Bad Bunny'],['Latin'],True,0.434174637008,22553,177,1642234,36006,224840049,432083223,95,87,119454915,621704,68910541
7,luther (with sza),GNX,2024-11-21,"['Kendrick Lamar', 'SZA']",['Hip-Hop/Rap'],False,0.398320952999,114542,283,2544587,59908,185898534,529284835,90,79,95590609,685910,50708961
8,Flowers,Flowers - Single,2023-01-12,['Miley Cyrus'],['Pop'],False,0.386266362009,1755543,405,13134318,324714,118810282,2441190194,84,97,18801738,10991496,1307055588
9,In the End,Papercuts,2024-04-12,['Linkin Park'],"['Alternative', 'Alternative Rock']",False,0.366726899192,3197,18,574324,620,507266,2453486917,43,0,0,12555269,1962978921
10,Abracadabra,Abracadabra,2025-02-03,['Lady Gaga'],['Pop'],False,0.359124056071,24427,231,481558,7475,224157106,119455947,90,97,96909220,2393043,65270361
11,You're Beautiful (2024 Remaster),Back To Bedlam (20th Anniversary Edition),2024-10-11,['James Blunt'],['Pop'],True,0.352216784999,3197,8,574324,45,133397,979300910,37,0,0,5146883,848883817
12,i like the way you kiss me,I like the way you kiss me,2024-03-19,['Artemas'],"['Pop', 'Alternative']",False,0.35097295267,291198,161,8500567,232483,107610460,1202755744,80,113,17524449,4279893,385388146
13,tv off (feat. lefty gunplay),GNX,2024-11-22,"['Kendrick Lamar', 'Lefty Gunplay']",['Hip-Hop/Rap'],True,0.338738103327,76961,208,1519426,52352,155697757,345817830,91,31,66367587,1700924,113293070
14,blinding lights,Fire,2024-11-06,['FireVRMusic'],['Others'],True,0.338071652684,3197,18,574324,1,1,4722039296,11,0,0,718399,86105878
15,Trátame Suavemente,ROCK 80s Y 90s EN ESPAÑOL,2025-02-03,['Soda Stereo'],['Others'],False,0.332927705259,184,18,574324,1,1,405687736,7,0,0,226500,36012835
16,Please Please Please,Please Please Please,2024-06-06,['Sabrina Carpenter'],['Pop'],True,0.317831864421,347726,182,2312940,113518,182488594,1270628432,83,106,65358634,4150471,366606128
17,La La La - Sped Up Version,La La La (Edits),2025-01-24,"['Naughty Boy', 'Sam Smith']",['Pop'],False,0.306787851982,1,2,574324,68,2118441,1422187,56,0,0,718399,86105878
18,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,2024-06-21,['KAROL G'],['Latin'],False,0.304656552747,191556,166,5909979,99999,209842628,1013507554,88,127,92655116,3074011,445533835
19,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,2025-01-05,['Bad Bunny'],['Latin'],True,0.301321381896,10316,98,614425,20470,149186559,301743375,93,32,76053300,1223296,93863759
20,Gata Only,Gata Only,2024-02-02,"['FloyyMenor', 'Cris Mj']",['Latin'],True,0.299874755762,90543,117,13799130,211162,101575887,1460723967,83,106,46626454,4180588,704615867
21,A Bar Song (Tipsy),A Bar Song (Tipsy),2024-04-12,['Shaboozey'],['Country'],True,0.298756682436,364,199,7074477,195295,153191597,1123673430,83,113,84907676,3036406,334967318
22,Alibi (with Pabllo Vittar & Yseult),Alibi (with Pabllo Vittar & Yseult),2024-06-28,"['Sevdaliza', 'Pabllo Vittar', 'Yseult']","['Latin', 'Latin Pop']",False,0.29547902856,59883,55,6329864,74750,38384103,479476247,79,45,8634803,1135874,89081921
23,As It Was,As It Was,2022-03-31,['Harry Styles'],['Pop'],False,0.281059896042,1962831,461,16211307,473914,148599511,3771755743,84,99,19786165,9496678,876278718
24,Promotional,Class,2025-01-24,['FlyFlyMusic'],['Others'],False,0.275591496653,3197,18,574324,24257,8233730,202901658,0,6,578445,718399,86105878
25,That’s So True,The Secret of Us (Deluxe),2024-10-18,['Gracie Abrams'],['Pop'],True,0.272176095703,125108,185,574324,45128,200979035,717167183,93,96,90146523,1003929,82820823
26,Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,2022-05-24,['WZ Beat'],"['Latin Pop', 'Latin']",False,0.27183040098,3197,1,667038,3885,474608,7858537,35,0,0,73403,4570791
27,"Good Luck, Babe!","Good Luck, Babe!",2024-04-05,['Chappell Roan'],['Pop'],False,0.266718127756,472051,254,7158104,148995,218908965,1302393979,90,133,79997438,1727888,178652136
28,NUEVAYoL,DeBÍ TiRAR MáS FOToS,2025-01-05,['Bad Bunny'],['Latin'],False,0.263981053215,11262,87,858524,23656,112807428,265486813,92,43,37831739,437324,47265697
29,Stargazing,Stargazing,2024-05-10,['Myles Smith'],"['Pop', 'Singer/Songwriter', 'Alternative Rock']",False,0.259500424815,658568,179,3810660,111608,98095814,674063206,83,73,36468130,917459,119639134
30,squabble up,GNX,2024-11-22,['Kendrick Lamar'],['Hip-Hop/Rap'],True,0.259262871127,71269,156,1095570,45009,100188948,258865942,88,30,33106660,2007523,92528278
31,Taste,Short n' Sweet,2024-08-23,['Sabrina Carpenter'],['Pop'],False,0.252712075962,4147,195,1429424,57585,166596837,844643378,87,94,75563019,3905867,235796019
32,bathroom floor,bathroom floor,2022-10-07,['Kids With Buns'],"['Alternative', 'Indie Pop', 'Pop']",False,0.250451887082,1143,1,3602,338,20625,353061,19,1,10613,17090016,7014392703
33,STAY (with Justin Bieber),STAY (with Justin Bieber),2021-07-09,"['The Kid LAROI', 'Justin Bieber']",['Pop'],True,0.241213174393,1648517,517,574324,501757,135529151,3474619809,78,105,15265273,3077576,377035448
34,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),2024-10-16,"['Pitbull', 'Diljit Dosanjh', 'Neeraj Shridhar', 'Tanishk Bagchi', 'Pritam', 'Dhrruv Yogi', 'Sameer Anjaan']","['Bollywood', 'Soundtracks', 'Indian']",False,0.239591175334,330,5,45755,1653,6192410,36066304,66,8,4209484,7011906,949162568
35,I Had Some Help (feat. Morgan Wallen),I Had Some Help,2024-05-10,"['Post Malone', 'Morgan Wallen']",['Country'],True,0.238625184597,245232,161,3499911,132269,152661578,956134412,81,88,64203525,1276737,186601013
36,greedy,greedy,2023-09-14,['Tate McRae'],"['Pop', 'Alternative']",True,0.23279977561,864701,183,8049699,157925,123141636,1656730873,82,93,17460534,2222397,257395878
37,Timeless (with Playboi Carti),Timeless,2024-09-27,"['The Weeknd', 'Playboi Carti']",['R&B/Soul'],True,0.229553748578,14784,214,3475192,99509,171847935,608626591,88,69,82601686,511288,41112106
38,Baby Shark,핑크퐁 영어 동물동요,2015-12-01,['Pinkfong'],"['""Childrens Music""', 'Pop', 'Electronic']",False,0.225339765087,426,37,2174399,75184,9546097,826817593,73,60,1197245,55547002,18717164295
39,Sports car,Sports car,2025-01-21,['Tate McRae'],['Pop'],False,0.224058859109,26650,160,201151,4741,130058452,83102297,86,56,60593884,316514,14671294
40,LALA,LALA - Single,2023-03-22,['Myke Towers'],['Latin'],True,0.21844185522,107479,88,3190206,130931,71105971,1155135485,77,46,14150965,5031170,1190587968
41,Born Again (feat. Doja Cat & RAYE),Born Again (feat. Doja Cat & RAYE),2025-02-06,"['LISA', 'Doja Cat', 'RAYE']","['Pop', 'K-Pop']",False,0.216651378488,9993,111,164007,2755,147099630,71145286,87,76,79349832,2304201,55505879
42,Houdini,Houdini,2024-05-31,['Eminem'],['Hip-Hop/Rap'],True,0.215232304582,382144,64,3418254,139370,67735491,578542388,76,70,16052957,940445,55276935
43,we can't be friends (wait for your love),eternal sunshine,2024-03-08,['Ariana Grande'],['Pop'],False,0.214359003536,433897,166,3057207,97880,160633893,1250019154,84,119,60927402,3839984,347980720
44,VOY A LLeVARTE PA PR,DeBÍ TiRAR MáS FOToS,2025-01-05,['Bad Bunny'],['Latin'],True,0.213447976522,1993,50,403334,18004,117667984,225551015,90,24,52212142,430784,55257698
45,The Emptiness Machine,The Emptiness Machine,2024-09-05,['Linkin Park'],"['Alternative', 'Rock', 'Alternative Rock']",True,0.21061787434,138758,78,2032450,79044,58514762,453065733,79,54,14861178,3176463,185182059
46,A Bar Song (Tipsy),A Bar Song (Tipsy),2024-04-12,['Shaboozey'],['Country'],False,0.210008198686,1044792,120,574324,13229,5299112,1121979290,62,2,694302,6,144
47,Dance Monkey,Dance Monkey,2019-05-10,['Tones And I'],"['Pop', 'Alternative', 'Singer/Songwriter']",False,0.20773240143,605912,546,45666336,419501,67353763,3219318426,70,189,8268385,28440159,3510126191
48,No Glory - Radio Edit,No Glory (Radio Edit),2025-02-19,['ximy_'],"['Hip-Hop/Rap', 'Rock']",False,0.20709460345,3197,18,574324,26,81501,71353021,65,0,0,718399,86105878
49,Sailor Song,Sailor Song - Single,2024-07-26,['Gigi Perez'],"['Pop', 'Rock']",False,0.205644665025,87479,136,2200060,85451,168247744,747087187,90,77,80069733,1333174,104277649
